"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 11:29:04 COT 2022","Wed Sep 07 11:29:28 COT 2022","23674","firefox","","","","","Successful user registration",""
"passed","Wed Sep 07 11:29:04 COT 2022","Wed Sep 07 11:29:25 COT 2022","20709","webkit","","","","","Successful user registration",""
"passed","Wed Sep 07 11:29:04 COT 2022","Wed Sep 07 11:29:22 COT 2022","17754","chromium","","","","","Successful user registration",""
